File,Line,Text
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.pie.js,567,// TODO: perhaps do some mathmatical trickery here with the Y-coordinate to compensate for pie tilt?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.selection.js,77,// FIXME: The drag handling implemented here should be
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.threshold.js,91,// FIXME: there are probably some edge cases left in bars
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\jQuery-File-Upload\js\vendor\jquery.ui.widget.js,115,// TODO: remove support for widgetEventPrefix
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\jQuery-File-Upload\js\vendor\jquery.ui.widget.js,280,// TODO remove dual storage
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\l10n.js,69,// TODO: support multiple and external JSON dictionaries
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\l10n.js,185,var reSplit = /^([^=\s]*)\s*=\s*(.+)$/; // TODO: escape EOLs with '\'
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\l10n.js,337,// TODO: clear all non predefined macros.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\l10n.js,759,// TODO: support other properties (l20n still doesn't...)
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\l10n.js,881,// translate element (TODO: security checks?)
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,2275,// TODO Refactor RenderPageRequest to separate rendering
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,3928,// TODO set rendering intent?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,3932,// TODO set flatness?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,4611,// TODO According to the spec we're also suppose to ignore any operators
